pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"at:42:3842:0:1_at:42:3842:3_walkway_1","at:42:3842:0:1","at:42:3842:3","1","1","120"
"at:42:3842:0:1_at:42:3842:4_walkway_1","at:42:3842:0:1","at:42:3842:4","1","1","180"
"at:42:3842:2_at:42:3842:3_walkway_1","at:42:3842:2","at:42:3842:3","1","1","180"
"at:42:3842:2_at:42:3842:4_walkway_1","at:42:3842:2","at:42:3842:4","1","1","300"
"at:42:3842:3_at:42:3842:5_walkway_1","at:42:3842:3","at:42:3842:5","1","1","60"
"at:42:3842:3_at:42:3842:6_walkway_1","at:42:3842:3","at:42:3842:6","1","1","72"
"at:42:3842:4_at:42:3842:5_walkway_1","at:42:3842:4","at:42:3842:5","1","1","120"
"at:42:3842:4_at:42:3842:6_walkway_1","at:42:3842:4","at:42:3842:6","1","1","132"
"at:42:3655:0:1_at:42:3655:9_walkway_1","at:42:3655:0:1","at:42:3655:9","1","1","90"
"at:42:3655:0:1_at:42:3655:11_stairs_1","at:42:3655:0:1","at:42:3655:11","2","1","84"
"at:42:3655:0:1_at:42:3655:11_walkway_1","at:42:3655:0:1","at:42:3655:11","1","1","90"
"at:42:3655:9_at:42:3655:11_stairs_1","at:42:3655:9","at:42:3655:11","2","1","84"
"at:42:3655:9_at:42:3655:11_walkway_1","at:42:3655:9","at:42:3655:11","1","1","90"
"at:42:3655:10_at:42:3655:11_walkway_1","at:42:3655:10","at:42:3655:11","1","1","90"
"at:49:1482:0:1_at:49:1482:2_stairs_1","at:49:1482:0:1","at:49:1482:2","2","1","300"
"at:49:1482:0:4_at:49:1482:2_stairs_1","at:49:1482:0:4","at:49:1482:2","2","1","300"
"at:49:1482:0:1_at:49:1482:3_stairs_1","at:49:1482:0:1","at:49:1482:3","2","1","180"
"at:49:1482:0:4_at:49:1482:3_stairs_1","at:49:1482:0:4","at:49:1482:3","2","1","180"
"at:49:1482:0:1_at:49:1482:3_elevator_1","at:49:1482:0:1","at:49:1482:3","5","1","120"
"at:49:1482:0:4_at:49:1482:3_elevator_1","at:49:1482:0:4","at:49:1482:3","5","1","120"
"at:49:1482:0:1_at:49:1482:4_stairs_1","at:49:1482:0:1","at:49:1482:4","2","1","180"
"at:49:1482:0:4_at:49:1482:4_stairs_1","at:49:1482:0:4","at:49:1482:4","2","1","180"
"at:49:1482:0:1_at:49:1482:5_stairs_1","at:49:1482:0:1","at:49:1482:5","2","1","180"
"at:49:1482:0:4_at:49:1482:5_stairs_1","at:49:1482:0:4","at:49:1482:5","2","1","180"
"at:49:1482:0:1_at:49:1482:5_elevator_1","at:49:1482:0:1","at:49:1482:5","5","1","120"
"at:49:1482:0:4_at:49:1482:5_elevator_1","at:49:1482:0:4","at:49:1482:5","5","1","120"
"at:49:1482:2_at:49:1482:3_walkway_1","at:49:1482:2","at:49:1482:3","1","1","180"
"at:49:1482:2_at:49:1482:4_walkway_1","at:49:1482:2","at:49:1482:4","1","1","120"
"at:49:1482:2_at:49:1482:5_walkway_1","at:49:1482:2","at:49:1482:5","1","1","180"
"at:49:1482:0:1_at:49:1482:0:4_walkway_1","at:49:1482:0:1","at:49:1482:0:4","1","1","120"
"at:43:5759:0:1_at:43:5759:10_stairs_1","at:43:5759:0:1","at:43:5759:10","2","1","150"
"at:43:5759:0:1_at:43:5759:3_elevator_1","at:43:5759:0:1","at:43:5759:3","5","1","210"
"at:43:5759:0:1_at:43:5759:7_elevator_1","at:43:5759:0:1","at:43:5759:7","5","1","210"
"at:43:5759:2_at:43:5759:10_walkway_1","at:43:5759:2","at:43:5759:10","1","1","150"
"at:43:5759:2_at:43:5759:6_walkway_1","at:43:5759:2","at:43:5759:6","1","1","120"
"at:43:5759:2_at:43:5759:3_walkway_1","at:43:5759:2","at:43:5759:3","1","1","60"
"at:43:5759:2_at:43:5759:4_walkway_1","at:43:5759:2","at:43:5759:4","1","1","120"
